place_name,state,population,rank
Monheim am Rhein,Nordrhein-Westfalen,43630,245
Bietigheim-Bissingen,Baden-Württemberg,43556,246
"Homburg, Kreisstadt",Saarland,43382,247
Wismar,Mecklenburg-Vorpommern,43329,248
Kaarst,Nordrhein-Westfalen,43295,249
Heinsberg,Nordrhein-Westfalen,43163,250
Borken,Nordrhein-Westfalen,43035,251
Gifhorn,Niedersachsen,42726,252
Aurich,Niedersachsen,42612,253
Schwäbisch Hall,Baden-Württemberg,42598,254
Amberg,Bayern,42553,255
Siegburg,Nordrhein-Westfalen,42445,256
Weiden i.d.OPf.,Bayern,42444,257
Kamen,Nordrhein-Westfalen,42319,258
Kirchheim unter Teck,Baden-Württemberg,42299,259
Nettetal,Nordrhein-Westfalen,41955,260
Laatzen,Niedersachsen,41838,261
Buchholz in der Nordheide,Niedersachsen,41737,262
Dreieich,Hessen,41692,263
Schorndorf,Baden-Württemberg,41647,264
"Freiberg, Stadt, Universitätsstadt",Sachsen,41519,265
Eberswalde,Brandenburg,41481,266
Wunstorf,Niedersachsen,41211,267
Hückelhoven,Nordrhein-Westfalen,41192,268
Leinfelden-Echterdingen,Baden-Württemberg,41185,269
Bensheim,Hessen,41124,270
"Neumarkt i.d.OPf., GKSt",Bayern,41103,271
Coburg,Bayern,41064,272
Völklingen,Saarland,40952,273
"Germering, GKSt",Bayern,40916,274
Buxtehude,Niedersachsen,40886,275
Schwabach,Bayern,40835,276
Löhne,Nordrhein-Westfalen,40826,277
Nürtingen,Baden-Württemberg,40773,278
Nordhausen,Thüringen,40767,279
Eisenach,Thüringen,40747,280
Ansbach,Bayern,40742,281
Königswinter,Nordrhein-Westfalen,40574,282
Ahaus,Nordrhein-Westfalen,40176,283
Würselen,Nordrhein-Westfalen,40145,284
Pirna,Sachsen,40128,285
Lemgo,Nordrhein-Westfalen,39905,286
Ostfildern,Baden-Württemberg,39778,287
Pirmasens,Rheinland-Pfalz,39761,288
Kehl,Baden-Württemberg,39584,289
Mettmann,Nordrhein-Westfalen,39542,290
Königs Wusterhausen,Brandenburg,39360,291
Freital,Sachsen,39281,292
"Hofheim am Taunus, Kreisstadt",Hessen,39259,293
Maintal,Hessen,38987,294
Ilmenau,Thüringen,38834,295
Backnang,Baden-Württemberg,38818,296
Langen (Hessen),Hessen,38785,297
Ettlingen,Baden-Württemberg,38578,298
Niederkassel,Nordrhein-Westfalen,38485,299
Coesfeld,Nordrhein-Westfalen,38237,300
Kamp-Lintfort,Nordrhein-Westfalen,38217,301
Greven,Nordrhein-Westfalen,38212,302
Haltern am See,Nordrhein-Westfalen,38142,303
Wesseling,Nordrhein-Westfalen,38106,304
Weißenfels,Sachsen-Anhalt,37929,305
"Neu-Isenburg, Hugenotten- und Waldenserstadt",Hessen,37926,306
Halberstadt,Sachsen-Anhalt,37898,307
Stendal,Sachsen-Anhalt,37850,308
Warendorf,Nordrhein-Westfalen,37703,309
"Saarlouis, Kreisstadt",Saarland,37667,310
"Bautzen / Budyšin, Stadt, Hochschulstadt / Wysokošulske město",Sachsen,37566,311
"Fürstenfeldbruck, GKSt",Bayern,37420,312
Papenburg,Niedersachsen,37206,313
"Erding, GKSt",Bayern,37171,314
Beckum,Nordrhein-Westfalen,37133,315
Tuttlingen,Baden-Württemberg,37109,316
Sinsheim,Baden-Württemberg,37036,317
Winsen (Luhe),Niedersachsen,36961,318
Meppen,Niedersachsen,36930,319
Bitterfeld-Wolfen,Sachsen-Anhalt,36592,320
Cloppenburg,Niedersachsen,36565,321
Porta Westfalica,Nordrhein-Westfalen,36521,322
Mühlhausen/Thüringen,Thüringen,36353,323
Emsdetten,Nordrhein-Westfalen,36159,324
Bad Vilbel,Hessen,35961,325
"Limburg a. d. Lahn, Kreisstadt",Hessen,35938,326
Crailsheim,Baden-Württemberg,35755,327
Voerde (Niederrhein),Nordrhein-Westfalen,35661,328
Balingen,Baden-Württemberg,35623,329
"Dietzenbach, Kreisstadt",Hessen,35561,330
Datteln,Nordrhein-Westfalen,35473,331
St. Ingbert,Saarland,35453,332
Lage,Nordrhein-Westfalen,35054,333
"Deggendorf, GKSt",Bayern,35044,334
Ingelheim am Rhein,Rheinland-Pfalz,35016,335
Hemer,Nordrhein-Westfalen,35005,336
Geldern,Nordrhein-Westfalen,34962,337
Wedel,Schleswig-Holstein,34912,338
Goch,Nordrhein-Westfalen,34907,339
Jülich,Nordrhein-Westfalen,34890,340
Steinfurt,Nordrhein-Westfalen,34860,341
Suhl,Thüringen,34685,342
Rheinfelden (Baden),Baden-Württemberg,34674,343
Korschenbroich,Nordrhein-Westfalen,34600,344
Biberach an der Riß,Baden-Württemberg,34576,345
Ahrensburg,Schleswig-Holstein,34534,346
Viernheim,Hessen,34426,347
Merseburg,Sachsen-Anhalt,34392,348
Wermelskirchen,Nordrhein-Westfalen,34375,349
Seelze,Niedersachsen,34364,350
Herrenberg,Baden-Württemberg,34192,351
Kempen,Nordrhein-Westfalen,34105,352
Leer (Ostfriesland),Niedersachsen,34025,353
Kornwestheim,Baden-Württemberg,33980,354
Barsinghausen,Niedersachsen,33941,355
Stuhr,Niedersachsen,33913,356
Schwedt/Oder,Brandenburg,33730,357
Vechta,Niedersachsen,33728,358
Geesthacht,Schleswig-Holstein,33519,359
Zweibrücken,Rheinland-Pfalz,33323,360
"Forchheim, GKSt",Bayern,33017,361
Radebeul,Sachsen,32979,362
Bad Nauheim,Hessen,32894,363
Achim,Niedersachsen,32870,364
Uelzen,Niedersachsen,32821,365
Itzehoe,Schleswig-Holstein,32725,366
Nienburg (Weser),Niedersachsen,32608,367
Lampertheim,Hessen,32400,368
Weil am Rhein,Baden-Württemberg,32236,369
Wernigerode,Sachsen-Anhalt,32167,370
Delbrück,Nordrhein-Westfalen,32166,371
Fürstenwalde/Spree,Brandenburg,32002,372
Neuruppin,Brandenburg,31962,373
Naumburg (Saale),Sachsen-Anhalt,31940,374
Emmerich am Rhein,Nordrhein-Westfalen,31829,375
Radolfzell am Bodensee,Baden-Württemberg,31734,376
"Merzig, Kreisstadt",Saarland,31697,377
Mörfelden-Walldorf,Hessen,31638,378
Ganderkesee,Niedersachsen,31494,379
Oer-Erkenschwick,Nordrhein-Westfalen,31404,380
Georgsmarienhütte,Niedersachsen,31244,381
Rheinberg,Nordrhein-Westfalen,31172,382
Altenburg,Thüringen,31093,383
Geestland,Niedersachsen,31093,384
Burgdorf,Niedersachsen,31051,385
Walsrode,Niedersachsen,31019,386
Bernburg (Saale),Sachsen-Anhalt,30992,387
Lohmar,Nordrhein-Westfalen,30992,388
Weyhe,Niedersachsen,30975,389
Kreuztal,Nordrhein-Westfalen,30905,390
"Bad Hersfeld, Kreisstadt",Hessen,30846,391
Hoyerswerda / Wojerecy,Sachsen,30759,392
Rendsburg,Schleswig-Holstein,30633,393
Schönebeck (Elbe),Sachsen-Anhalt,30419,394
"Friedberg (Hessen), Kreisstadt",Hessen,30409,395
Bretten,Baden-Württemberg,30274,396
Werne,Nordrhein-Westfalen,30202,397
Idar-Oberstein,Rheinland-Pfalz,30170,398
Taunusstein,Hessen,30145,399
"Neuburg a.d.Donau, GKSt",Bayern,30135,400
Oelde,Nordrhein-Westfalen,30129,401
Haan,Nordrhein-Westfalen,30086,402
Rietberg,Nordrhein-Westfalen,30055,403
Andernach,Rheinland-Pfalz,30039,404
Gevelsberg,Nordrhein-Westfalen,30006,405
"Friedberg, St",Bayern,29953,406
"Schwandorf, GKSt",Bayern,29877,407
Winnenden,Baden-Württemberg,29876,408
Wedemark,Niedersachsen,29803,409
Einbeck,Niedersachsen,29751,410
Osterholz-Scharmbeck,Niedersachsen,29710,411
Bad Zwischenahn,Niedersachsen,29698,412
"Meschede, Kreis- und  Hochschulstadt",Nordrhein-Westfalen,29615,413
Werl,Nordrhein-Westfalen,29600,414
Gaggenau,Baden-Württemberg,29529,415
Ludwigsfelde,Brandenburg,29514,416
Emmendingen,Baden-Württemberg,29502,417
"Ennepetal, Stadt der Kluterthöhle",Nordrhein-Westfalen,29446,418
Riesa,Sachsen,29373,419
Griesheim,Hessen,29309,420
"Landsberg am Lech, GKSt",Bayern,29257,421
Tönisvorst,Nordrhein-Westfalen,29251,422
Baesweiler,Nordrhein-Westfalen,29206,423
Mühlheim am Main,Hessen,29194,424
Mechernich,Nordrhein-Westfalen,29187,425
Waltrop,Nordrhein-Westfalen,29177,426
Blankenfelde-Mahlow,Brandenburg,29129,427
Saalfeld/Saale,Thüringen,29086,428
"Güstrow, Barlachstadt",Mecklenburg-Vorpommern,28959,429
Vaihingen an der Enz,Baden-Württemberg,28798,430
Meißen,Sachsen,28753,431
Rödermark,Hessen,28753,432
Rösrath,Nordrhein-Westfalen,28709,433
Springe,Niedersachsen,28669,434
Arnstadt,Thüringen,28615,435
Bühl,Baden-Württemberg,28608,436
Geilenkirchen,Nordrhein-Westfalen,28494,437
"Unterschleißheim, St",Bayern,28482,438
Hattersheim am Main,Hessen,28467,439
Wangen im Allgäu,Baden-Württemberg,28412,440
Zeitz,Sachsen-Anhalt,28328,441
Henstedt-Ulzburg,Schleswig-Holstein,28325,442
"Garmisch-Partenkirchen, M",Bayern,28305,443
Kevelaer,Nordrhein-Westfalen,28296,444
Reinbek,Schleswig-Holstein,28274,445
Bramsche,Niedersachsen,28220,446
Kelkheim (Taunus),Hessen,28175,447
Höxter,Nordrhein-Westfalen,28166,448
Lohne (Oldenburg),Niedersachsen,28089,449
Wegberg,Nordrhein-Westfalen,28089,450
"Leichlingen (Rheinland), Blütenstadt",Nordrhein-Westfalen,28078,451
Bad Neuenahr-Ahrweiler,Rheinland-Pfalz,27961,452
Schwelm,Nordrhein-Westfalen,27953,453
Baunatal,Hessen,27929,454
"Königsbrunn, St",Bayern,27879,455
"Heppenheim (Bergstraße), Kreisstadt",Hessen,27864,456
Geislingen an der Steige,Baden-Württemberg,27791,457
Ehingen (Donau),Baden-Württemberg,27764,458
Wiesloch,Baden-Württemberg,27731,459
Strausberg,Brandenburg,27719,460
Teltow,Brandenburg,27682,461
Sundern (Sauerland),Nordrhein-Westfalen,27654,462
Grimma,Sachsen,27529,463
Northeim,Niedersachsen,27326,464
"Olching, St",Bayern,27310,465
Neukirchen-Vluyn,Nordrhein-Westfalen,27140,466
Verden (Aller),Niedersachsen,27121,467
Weinstadt,Baden-Württemberg,27074,468
Werder (Havel),Brandenburg,27065,469
