place_name,state,population,rank
Ottersweier,Baden-Württemberg,6350,2437
Waldachtal,Baden-Württemberg,6346,2438
Eichwalde,Brandenburg,6341,2439
Bad Saarow,Brandenburg,6340,2440
Winterlingen,Baden-Württemberg,6339,2441
Hachenburg,Rheinland-Pfalz,6336,2442
Satow,Mecklenburg-Vorpommern,6336,2443
"Neumarkt-Sankt Veit, St",Bayern,6334,2444
"Hutthurm, M",Bayern,6332,2445
Steinenbronn,Baden-Württemberg,6332,2446
Pentling,Bayern,6328,2447
Nuthe-Urstromtal,Brandenburg,6325,2448
Rötha,Sachsen,6325,2449
Kappelrodeck,Baden-Württemberg,6324,2450
Benningen am Neckar,Baden-Württemberg,6323,2451
Otzberg,Hessen,6322,2452
Brechen,Hessen,6321,2453
Altlußheim,Baden-Württemberg,6317,2454
Sohland a. d. Spree,Sachsen,6317,2455
Veitsbronn,Bayern,6312,2456
Schwabhausen,Bayern,6311,2457
Annaburg,Sachsen-Anhalt,6309,2458
Ihringen,Baden-Württemberg,6308,2459
Glücksburg (Ostsee),Schleswig-Holstein,6306,2460
Offenbach an der Queich,Rheinland-Pfalz,6305,2461
Wittenburg,Mecklenburg-Vorpommern,6300,2462
Zimmern ob Rottweil,Baden-Württemberg,6296,2463
Biesenthal,Brandenburg,6295,2464
"Au i.d.Hallertau, M",Bayern,6290,2465
Rodenberg,Niedersachsen,6287,2466
Kämpfelbach,Baden-Württemberg,6283,2467
Bammental,Baden-Württemberg,6278,2468
"Nabburg, St",Bayern,6276,2469
Hofbieber,Hessen,6275,2470
Litzendorf,Bayern,6274,2471
Wutha-Farnroda,Thüringen,6268,2472
Linz am Rhein,Rheinland-Pfalz,6265,2473
Trochtelfingen,Baden-Württemberg,6264,2474
Laage,Mecklenburg-Vorpommern,6253,2475
Oberding,Bayern,6251,2476
"Schwarzenfeld, M",Bayern,6251,2477
Havelberg,Sachsen-Anhalt,6246,2478
Bernsdorf,Sachsen,6242,2479
Vogtsburg im Kaiserstuhl,Baden-Württemberg,6234,2480
Arendsee (Altmark),Sachsen-Anhalt,6232,2481
Gersheim,Saarland,6232,2482
Bondorf,Baden-Württemberg,6230,2483
Geisingen,Baden-Württemberg,6225,2484
Ingersheim,Baden-Württemberg,6223,2485
Neckartenzlingen,Baden-Württemberg,6223,2486
Dornhan,Baden-Württemberg,6219,2487
Sittensen,Niedersachsen,6211,2488
Aarbergen,Hessen,6210,2489
Deißlingen,Baden-Württemberg,6208,2490
Erdweg,Bayern,6206,2491
Schönberg (Holstein),Schleswig-Holstein,6206,2492
Zell im Wiesental,Baden-Württemberg,6204,2493
Zierenberg,Hessen,6203,2494
Schliengen,Baden-Württemberg,6200,2495
Wolfschlugen,Baden-Württemberg,6199,2496
Dierdorf,Rheinland-Pfalz,6192,2497
"Edertal, Nationalparkgemeinde",Hessen,6181,2498
Adelebsen,Niedersachsen,6180,2499
"Bad Rodach, St",Bayern,6179,2500
Ilmtal-Weinstraße,Thüringen,6169,2501
"Gangkofen, M",Bayern,6161,2502
Nachrodt-Wiblingwerde,Nordrhein-Westfalen,6159,2503
Dötlingen,Niedersachsen,6155,2504
Gammertingen,Baden-Württemberg,6155,2505
Dußlingen,Baden-Württemberg,6153,2506
Niedergörsdorf,Brandenburg,6147,2507
Dettingen unter Teck,Baden-Württemberg,6138,2508
Westhausen,Baden-Württemberg,6136,2509
Uder,Thüringen,6134,2510
Rodewisch,Sachsen,6131,2511
Wrestedt,Niedersachsen,6130,2512
Arnstein,Sachsen-Anhalt,6123,2513
Eutingen im Gäu,Baden-Württemberg,6120,2514
Ebersdorf b.Coburg,Bayern,6119,2515
Ellerau,Schleswig-Holstein,6117,2516
Alpirsbach,Baden-Württemberg,6114,2517
"Windsbach, St",Bayern,6114,2518
"Klingenberg a.Main, St",Bayern,6112,2519
Neuffen,Baden-Württemberg,6104,2520
Muggensturm,Baden-Württemberg,6103,2521
Bad Marienberg (Westerwald),Rheinland-Pfalz,6096,2522
Birstein,Hessen,6094,2523
Gochsheim,Bayern,6093,2524
Großalmerode,Hessen,6090,2525
"Riedenburg, St",Bayern,6090,2526
Pleidelsheim,Baden-Württemberg,6087,2527
Moosinning,Bayern,6083,2528
Buttenwiesen,Bayern,6081,2529
Nieheim,Nordrhein-Westfalen,6081,2530
Oberthal,Saarland,6073,2531
Falkenberg/Elster,Brandenburg,6070,2532
Lossatal,Sachsen,6067,2533
Mengkofen,Bayern,6065,2534
Billigheim,Baden-Württemberg,6063,2535
Hüttlingen,Baden-Württemberg,6060,2536
Lachendorf,Niedersachsen,6059,2537
"Neustadt a.d.Waldnaab, St",Bayern,6057,2538
Bischberg,Bayern,6056,2539
Dudenhofen,Rheinland-Pfalz,6054,2540
Altbach,Baden-Württemberg,6047,2541
Friedland,Mecklenburg-Vorpommern,6044,2542
"Bad Königshofen i.Grabfeld, St",Bayern,6034,2543
"Untergriesbach, M",Bayern,6033,2544
Bickenbach,Hessen,6031,2545
Isenbüttel,Niedersachsen,6031,2546
Dohna,Sachsen,6030,2547
Werra-Suhl-Tal,Thüringen,6028,2548
Nesse-Apfelstädt,Thüringen,6021,2549
Waldsee,Rheinland-Pfalz,6016,2550
Kirchheim am Neckar,Baden-Württemberg,6004,2551
Plaidt,Rheinland-Pfalz,6003,2552
Beelen,Nordrhein-Westfalen,6002,2553
Westerburg,Rheinland-Pfalz,6002,2554
Auetal,Niedersachsen,6001,2555
Sehmatal,Sachsen,5998,2556
Karlshuld,Bayern,5997,2557
Michelau i.OFr.,Bayern,5995,2558
Unstruttal,Thüringen,5993,2559
Diekholzen,Niedersachsen,5982,2560
Allershausen,Bayern,5980,2561
Hörselberg-Hainich,Thüringen,5979,2562
Mainhardt,Baden-Württemberg,5973,2563
Rohrbach,Bayern,5970,2564
Kronau,Baden-Württemberg,5969,2565
Ispringen,Baden-Württemberg,5968,2566
Schlangenbad,Hessen,5967,2567
Sickte,Niedersachsen,5967,2568
"Spangenberg, Liebenbachstadt",Hessen,5967,2569
Butjadingen,Niedersachsen,5966,2570
Horst (Holstein),Schleswig-Holstein,5961,2571
"Malchow, Inselstadt",Mecklenburg-Vorpommern,5961,2572
Königsfeld im Schwarzwald,Baden-Württemberg,5960,2573
Plau am See,Mecklenburg-Vorpommern,5960,2574
Lichtentanne,Sachsen,5958,2575
Meersburg,Baden-Württemberg,5956,2576
Thalheim/Erzgeb.,Sachsen,5956,2577
Stockstadt am Rhein,Hessen,5945,2578
Kirchardt,Baden-Württemberg,5939,2579
Burkhardtsdorf,Sachsen,5936,2580
"Langquaid, M",Bayern,5936,2581
"Schlüsselfeld, St",Bayern,5932,2582
Hohenlockstedt,Schleswig-Holstein,5918,2583
Pliening,Bayern,5910,2584
Uelsen,Niedersachsen,5909,2585
Hebertshausen,Bayern,5894,2586
Mudersbach,Rheinland-Pfalz,5894,2587
Lübz,Mecklenburg-Vorpommern,5892,2588
Lingenfeld,Rheinland-Pfalz,5891,2589
Faßberg,Niedersachsen,5890,2590
Tarp,Schleswig-Holstein,5890,2591
Großbreitenbach,Thüringen,5884,2592
An der Schmücke,Thüringen,5881,2593
Haiterbach,Baden-Württemberg,5872,2594
"Pyrbaum, M",Bayern,5872,2595
Geislingen,Baden-Württemberg,5870,2596
Boostedt,Schleswig-Holstein,5868,2597
Gransee,Brandenburg,5868,2598
"Kemnath, St",Bayern,5864,2599
"Weidenberg, M",Bayern,5864,2600
Barbing,Bayern,5861,2601
Niedereschach,Baden-Württemberg,5857,2602
"Emskirchen, M",Bayern,5854,2603
Rohrdorf,Bayern,5853,2604
Hausach,Baden-Württemberg,5851,2605
Schirgiswalde-Kirschau,Sachsen,5849,2606
Waldbrunn (Westerwald),Hessen,5847,2607
Bad Blankenburg,Thüringen,5843,2608
Jade,Niedersachsen,5843,2609
Berga-Wünschendorf,Thüringen,5840,2610
Schäftlarn,Bayern,5840,2611
Speichersdorf,Bayern,5840,2612
Dasing,Bayern,5838,2613
Beselich,Hessen,5835,2614
"Bad Birnbach, M",Bayern,5833,2615
Hohenstein,Hessen,5829,2616
"Tittmoning, St",Bayern,5826,2617
Lohra,Hessen,5823,2618
Geltendorf,Bayern,5817,2619
Elztal,Baden-Württemberg,5814,2620
Gmund a.Tegernsee,Bayern,5813,2621
Nufringen,Baden-Württemberg,5806,2622
Bodelshausen,Baden-Württemberg,5805,2623
Karstädt,Brandenburg,5803,2624
Waibstadt,Baden-Württemberg,5794,2625
Bredstedt,Schleswig-Holstein,5790,2626
"Heringsdorf, Ostseebad",Mecklenburg-Vorpommern,5790,2627
Rühen,Niedersachsen,5790,2628
Bräunlingen,Baden-Württemberg,5784,2629
"Bad Grönenbach, M",Bayern,5780,2630
Löchgau,Baden-Württemberg,5778,2631
Schrozberg,Baden-Württemberg,5777,2632
Treffurt,Thüringen,5772,2633
"Dietenhofen, M",Bayern,5771,2634
Sontheim an der Brenz,Baden-Württemberg,5771,2635
"Kipfenberg, M",Bayern,5767,2636
Schwarzheide,Brandenburg,5765,2637
Schwarmstedt,Niedersachsen,5759,2638
"Wemding, St",Bayern,5757,2639
Umkirch,Baden-Württemberg,5755,2640
Nottertal-Heilinger Höhen,Thüringen,5750,2641
Fürstenberg/Havel,Brandenburg,5741,2642
Kalefeld,Niedersachsen,5732,2643
"Hirschau, St",Bayern,5726,2644
Kastellaun,Rheinland-Pfalz,5722,2645
Oberlungwitz,Sachsen,5716,2646
Leun,Hessen,5715,2647
Neubulach,Baden-Württemberg,5713,2648
Ober-Mörlen,Hessen,5706,2649
Satteldorf,Baden-Württemberg,5703,2650
Bruckberg,Bayern,5700,2651
Herrnhut,Sachsen,5695,2652
Wirges,Rheinland-Pfalz,5694,2653
Saal a.d.Donau,Bayern,5685,2654
Böhmenkirch,Baden-Württemberg,5684,2655
Willingen (Upland),Hessen,5672,2656
Kolitzheim,Bayern,5671,2657
Odelzhausen,Bayern,5671,2658
"Babenhausen, M",Bayern,5669,2659
Münzenberg,Hessen,5663,2660
Hambergen,Niedersachsen,5651,2661
Bobritzsch-Hilbersdorf,Sachsen,5647,2662
Oberboihingen,Baden-Württemberg,5644,2663
Neudenau,Baden-Württemberg,5643,2664
Tacherting,Bayern,5643,2665
"Nandlstadt, M",Bayern,5635,2666
Nienburg (Saale),Sachsen-Anhalt,5635,2667
"Kleinwallstadt, M",Bayern,5632,2668
Wusterhausen/Dosse,Brandenburg,5626,2669
"Isen, M",Bayern,5619,2670
"Giebelstadt, M",Bayern,5617,2671
Weischlitz,Sachsen,5617,2672
Haimhausen,Bayern,5615,2673
"Ebensfeld, M",Bayern,5614,2674
"Mengerskirchen, Marktflecken",Hessen,5612,2675
"Harburg (Schwaben), St",Bayern,5598,2676
"Beratzhausen, M",Bayern,5594,2677
Gemmingen,Baden-Württemberg,5593,2678
Pöcking,Bayern,5589,2679
Marne,Schleswig-Holstein,5586,2680
Merzhausen,Baden-Württemberg,5584,2681
Aying,Bayern,5581,2682
Hambrücken,Baden-Württemberg,5581,2683
Saaldorf-Surheim,Bayern,5578,2684
Affing,Bayern,5575,2685
Dietramszell,Bayern,5572,2686
Brotterode-Trusetal,Thüringen,5571,2687
Wolfach,Baden-Württemberg,5571,2688
Großpösna,Sachsen,5570,2689
"Leutershausen, St",Bayern,5570,2690
Niedenstein,Hessen,5570,2691
Tegernheim,Bayern,5570,2692
Grünhain-Beierfeld,Sachsen,5569,2693
Bad Emstal,Hessen,5566,2694
Floh-Seligenthal,Thüringen,5566,2695
Zeithain,Sachsen,5565,2696
Limeshain,Hessen,5563,2697
Fischbachau,Bayern,5562,2698
Kaltennordheim,Thüringen,5562,2699
Kippenheim,Baden-Württemberg,5559,2700
"Markt Erlbach, M",Bayern,5557,2701
Schönenberg-Kübelberg,Rheinland-Pfalz,5557,2702
Schöntal,Baden-Württemberg,5557,2703
Wittichenau / Kulow,Sachsen,5554,2704
Riedering,Bayern,5550,2705
"Rochlitz, Stadt, Stadt des Roten Porphyr",Sachsen,5549,2706
Wesendorf,Niedersachsen,5549,2707
"Abenberg, St",Bayern,5547,2708
Laboe,Schleswig-Holstein,5546,2709
Bötzingen,Baden-Württemberg,5544,2710
Greußen,Thüringen,5544,2711
Kuchen,Baden-Württemberg,5544,2712
Wiedemar,Sachsen,5544,2713
Dettenhausen,Baden-Württemberg,5543,2714
Seelow,Brandenburg,5541,2715
"Zeil a.Main, St",Bayern,5540,2716
"Wartenberg, M",Bayern,5539,2717
Kumhausen,Bayern,5538,2718
Rot am See,Baden-Württemberg,5531,2719
Heimsheim,Baden-Württemberg,5530,2720
"Mellrichstadt, St",Bayern,5530,2721
Baltmannsweiler,Baden-Württemberg,5525,2722
Bad Lobenstein,Thüringen,5523,2723
Küssaberg,Baden-Württemberg,5520,2724
Weßling,Bayern,5519,2725
Blaichach,Bayern,5518,2726
Igersheim,Baden-Württemberg,5517,2727
Schweitenkirchen,Bayern,5517,2728
Büchenbach,Bayern,5514,2729
Mügeln,Sachsen,5505,2730
Ofterdingen,Baden-Württemberg,5505,2731
Altenkunstadt,Bayern,5502,2732
Ingelfingen,Baden-Württemberg,5501,2733
"Wernberg-Köblitz, M",Bayern,5494,2734
Kirchentellinsfurt,Baden-Württemberg,5492,2735
Rechberghausen,Baden-Württemberg,5491,2736
Baar-Ebenhausen,Bayern,5488,2737
Echzell,Hessen,5474,2738
Aschau i.Chiemgau,Bayern,5471,2739
Zeitlarn,Bayern,5463,2740
Lamspringe,Niedersachsen,5460,2741
"Vöhl, Nationalparkgemeinde",Hessen,5460,2742
Walddorfhäslach,Baden-Württemberg,5457,2743
Ahlerstedt,Niedersachsen,5456,2744
Drebkau/Drjowk,Brandenburg,5455,2745
Rackwitz,Sachsen,5452,2746
Brunnthal,Bayern,5451,2747
Battenberg (Eder),Hessen,5450,2748
"Monheim, St",Bayern,5450,2749
Sersheim,Baden-Württemberg,5448,2750
Eschede,Niedersachsen,5443,2751
"Pfeffenhausen, M",Bayern,5441,2752
Rottach-Egern,Bayern,5441,2753
Blaufelden,Baden-Württemberg,5439,2754
Horgenzell,Baden-Württemberg,5436,2755
Stolpen,Sachsen,5436,2756
Frankenblick,Thüringen,5434,2757
Hohenwestedt,Schleswig-Holstein,5428,2758
"Triftern, M",Bayern,5428,2759
Bessenbach,Bayern,5425,2760
Grabfeld,Thüringen,5425,2761
Lütjenburg,Schleswig-Holstein,5424,2762
"Velburg, St",Bayern,5424,2763
Grabow,Mecklenburg-Vorpommern,5422,2764
Ovelgönne,Niedersachsen,5421,2765
Sulzbach an der Murr,Baden-Württemberg,5421,2766
Traben-Trarbach,Rheinland-Pfalz,5421,2767
Waakirchen,Bayern,5419,2768
"Altenstadt, M",Bayern,5416,2769
Munderkingen,Baden-Württemberg,5408,2770
Walluf,Hessen,5407,2771
Dörpen,Niedersachsen,5405,2772
Forchtenberg,Baden-Württemberg,5405,2773
Rehfelde,Brandenburg,5403,2774
Rottendorf,Bayern,5398,2775
"Wegscheid, M",Bayern,5394,2776
Deining,Bayern,5392,2777
Ertingen,Baden-Württemberg,5381,2778
Ochtendung,Rheinland-Pfalz,5377,2779
Grävenwiesbach,Hessen,5376,2780
Ludwigsau,Hessen,5375,2781
Rockenhausen,Rheinland-Pfalz,5371,2782
Bad Gottleuba-Berggießhübel,Sachsen,5367,2783
Bernhardswald,Bayern,5366,2784
Neuenkirchen,Niedersachsen,5365,2785
Wackersdorf,Bayern,5364,2786
Külsheim,Baden-Württemberg,5360,2787
Grebenstein,Hessen,5358,2788
Nackenheim,Rheinland-Pfalz,5358,2789
Esterwegen,Niedersachsen,5357,2790
Niederorschel,Thüringen,5357,2791
Obrigheim,Baden-Württemberg,5357,2792
Sasbach,Baden-Württemberg,5357,2793
Obersontheim,Baden-Württemberg,5355,2794
Hagenbach,Rheinland-Pfalz,5354,2795
Gersfeld (Rhön),Hessen,5352,2796
Wannweil,Baden-Württemberg,5352,2797
Stühlingen,Baden-Württemberg,5351,2798
Otterberg,Rheinland-Pfalz,5348,2799
Guxhagen,Hessen,5347,2800
Norderney,Niedersachsen,5343,2801
Rangendingen,Baden-Württemberg,5343,2802
Wasungen,Thüringen,5342,2803
Kirchdorf a.Inn,Bayern,5341,2804
Warthausen,Baden-Württemberg,5341,2805
Ranstadt,Hessen,5340,2806
Nünchritz,Sachsen,5339,2807
Kusel,Rheinland-Pfalz,5332,2808
Großaitingen,Bayern,5331,2809
Wörthsee,Bayern,5330,2810
Dietzhölztal,Hessen,5328,2811
Estenfeld,Bayern,5323,2812
Mittelangeln,Schleswig-Holstein,5321,2813
Uhlstädt-Kirchhasel,Thüringen,5320,2814
Schechen,Bayern,5316,2815
Schönau a.Königssee,Bayern,5315,2816
Tiefenbronn,Baden-Württemberg,5315,2817
Zarrentin am Schaalsee,Mecklenburg-Vorpommern,5312,2818
"Eltmann, St",Bayern,5311,2819
Glashütten,Hessen,5311,2820
Sibbesse,Niedersachsen,5311,2821
Rosengarten,Baden-Württemberg,5309,2822
Helsa,Hessen,5305,2823
"Weitnau, M",Bayern,5302,2824
Angelbachtal,Baden-Württemberg,5299,2825
Meckesheim,Baden-Württemberg,5298,2826
Neuberg,Hessen,5296,2827
Seubersdorf i.d.OPf.,Bayern,5295,2828
Jestetten,Baden-Württemberg,5290,2829
"Laaber, M",Bayern,5290,2830
Moosthenning,Bayern,5290,2831
Dornburg-Camburg,Thüringen,5289,2832
Calberlah,Niedersachsen,5288,2833
"Ebstorf,Klosterflecken",Niedersachsen,5288,2834
Waldems,Hessen,5288,2835
Piding,Bayern,5284,2836
Prüm,Rheinland-Pfalz,5284,2837
Bergrheinfeld,Bayern,5276,2838
Egling,Bayern,5273,2839
Baindt,Baden-Württemberg,5269,2840
Schöppenstedt,Niedersachsen,5265,2841
"Thalmässing, M",Bayern,5264,2842
"Oberkotzau, M",Bayern,5263,2843
Bodenkirchen,Bayern,5262,2844
Jahnsdorf/Erzgeb.,Sachsen,5262,2845
Erdmannhausen,Baden-Württemberg,5261,2846
Süderbrarup,Schleswig-Holstein,5255,2847
Ühlingen-Birkendorf,Baden-Württemberg,5255,2848
Mahlberg,Baden-Württemberg,5254,2849
Mühlhausen,Bayern,5251,2850
Kappel-Grafenhausen,Baden-Württemberg,5246,2851
Pommelsbrunn,Bayern,5242,2852
Ellrich,Thüringen,5239,2853
"Niederaula, Marktgemeinde",Hessen,5225,2854
Hemhofen,Bayern,5220,2855
Iffezheim,Baden-Württemberg,5219,2856
Großschirma,Sachsen,5217,2857
Müden (Aller),Niedersachsen,5216,2858
Adelsheim,Baden-Württemberg,5207,2859
St. Johann,Baden-Württemberg,5202,2860
Lenzkirch,Baden-Württemberg,5201,2861
"Oettingen i.Bay., St",Bayern,5196,2862
"Spalt, St",Bayern,5196,2863
"Wörth a.d.Donau, St",Bayern,5196,2864
"Pottenstein, St",Bayern,5190,2865
Reichenau,Baden-Württemberg,5189,2866
Reichertshausen,Bayern,5188,2867
Diemelstadt,Hessen,5186,2868
Wettstetten,Bayern,5184,2869
Frensdorf,Bayern,5175,2870
Himmelpforten,Niedersachsen,5172,2871
Burg Stargard,Mecklenburg-Vorpommern,5171,2872
Lonsee,Baden-Württemberg,5170,2873
Tharandt,Sachsen,5170,2874
Habichtswald,Hessen,5168,2875
Lüdersdorf,Mecklenburg-Vorpommern,5159,2876
Steyerberg,Niedersachsen,5159,2877
"Wilhermsdorf, M",Bayern,5158,2878
Erlenbach,Baden-Württemberg,5155,2879
Karlskron,Bayern,5150,2880
Wermsdorf,Sachsen,5148,2881
Kitzscher,Sachsen,5140,2882
Bennewitz,Sachsen,5135,2883
Bad Bellingen,Baden-Württemberg,5134,2884
Steißlingen,Baden-Württemberg,5133,2885
Oberammergau,Bayern,5132,2886
Sulzfeld,Baden-Württemberg,5131,2887
Ruhla,Thüringen,5126,2888
"Hofheim i.UFr., St",Bayern,5125,2889
Waldmohr,Rheinland-Pfalz,5124,2890
Achstetten,Baden-Württemberg,5116,2891
Bad Boll,Baden-Württemberg,5116,2892
Großschönau,Sachsen,5114,2893
Ötigheim,Baden-Württemberg,5110,2894
Büsum,Schleswig-Holstein,5105,2895
Sundhagen,Mecklenburg-Vorpommern,5096,2896
"Erbendorf, St",Bayern,5095,2897
Neuhausen,Baden-Württemberg,5095,2898
Oberaudorf,Bayern,5095,2899
Modautal,Hessen,5090,2900
Gadebusch,Mecklenburg-Vorpommern,5087,2901
"Glonn, M",Bayern,5085,2902
Heiningen,Baden-Württemberg,5077,2903
Laufach,Bayern,5075,2904
Talheim,Baden-Württemberg,5074,2905
Trappenkamp,Schleswig-Holstein,5073,2906
Espenau,Hessen,5069,2907
Deggingen,Baden-Württemberg,5066,2908
Lensahn,Schleswig-Holstein,5066,2909
Mammendorf,Bayern,5066,2910
"Wiggensbach, M",Bayern,5065,2911
Fahrenzhausen,Bayern,5064,2912
"Igensdorf, M",Bayern,5063,2913
Brigachtal,Baden-Württemberg,5059,2914
Lindenfels,Hessen,5059,2915
"Bad Hindelang, M",Bayern,5058,2916
Driedorf,Hessen,5056,2917
Eckersdorf,Bayern,5054,2918
Haßmersheim,Baden-Württemberg,5052,2919
Oerlenbach,Bayern,5051,2920
Unkel,Rheinland-Pfalz,5051,2921
Heroldsbach,Bayern,5050,2922
"Binz, Ostseebad",Mecklenburg-Vorpommern,5049,2923
Münstertal/Schwarzwald,Baden-Württemberg,5043,2924
Engstingen,Baden-Württemberg,5041,2925
Marxzell,Baden-Württemberg,5040,2926
"Sulzberg, M",Bayern,5040,2927
Denkendorf,Bayern,5036,2928
Illerkirchberg,Baden-Württemberg,5036,2929
Oberteuringen,Baden-Württemberg,5035,2930
Weitramsdorf,Bayern,5029,2931
Frankenhardt,Baden-Württemberg,5026,2932
Krauchenwies,Baden-Württemberg,5023,2933
Mintraching,Bayern,5020,2934
Zschorlau,Sachsen,5018,2935
Lichtenau,Baden-Württemberg,5015,2936
"Großheubach, M",Bayern,5013,2937
Übersee,Bayern,5013,2938
Osterrönfeld,Schleswig-Holstein,5008,2939
"Windorf, M",Bayern,5005,2940
Fraureuth,Sachsen,5003,2941
"Fischach, M",Bayern,5001,2942
Petersaurach,Bayern,5000,2943
Halsbrücke,Sachsen,4999,2944
Hügelsheim,Baden-Württemberg,4999,2945
Rheinzabern,Rheinland-Pfalz,4998,2946
Altentreptow,Mecklenburg-Vorpommern,4992,2947
"Hahnbach, M",Bayern,4987,2948
Fronreute,Baden-Württemberg,4983,2949
Emmelshausen,Rheinland-Pfalz,4980,2950
"Windischeschenbach, St",Bayern,4980,2951
Lohsa / Łaz,Sachsen,4978,2952
Süsel,Schleswig-Holstein,4978,2953
Schwaan,Mecklenburg-Vorpommern,4976,2954
Abstatt,Baden-Württemberg,4975,2955
Unterschneidheim,Baden-Württemberg,4975,2956
Amöneburg,Hessen,4972,2957
Molfsee,Schleswig-Holstein,4972,2958
Ronneburg,Thüringen,4971,2959
Allmersbach im Tal,Baden-Württemberg,4969,2960
Lindern (Oldenburg),Niedersachsen,4968,2961
Arnsdorf,Sachsen,4960,2962
Todtnau,Baden-Württemberg,4960,2963
Dahme/Mark,Brandenburg,4957,2964
Zolling,Bayern,4956,2965
"Oberthulba, M",Bayern,4948,2966
Cochem,Rheinland-Pfalz,4946,2967
"Pfreimd, St",Bayern,4943,2968
Königsmoos,Bayern,4938,2969
Mudau,Baden-Württemberg,4936,2970
Naumburg,Hessen,4935,2971
Velpke,Niedersachsen,4934,2972
Unterensingen,Baden-Württemberg,4933,2973
Burgwald,Hessen,4932,2974
Allmendingen,Baden-Württemberg,4927,2975
Waldbüttelbrunn,Bayern,4926,2976
Falkenstein/Harz,Sachsen-Anhalt,4924,2977
"Zapfendorf, M",Bayern,4922,2978
Niederstotzingen,Baden-Württemberg,4916,2979
"Creußen, St",Bayern,4914,2980
Amt Creuzburg,Thüringen,4910,2981
"Arzberg, St",Bayern,4908,2982
Niederstetten,Baden-Württemberg,4906,2983
"Oberviechtach, St",Bayern,4905,2984
Uebigau-Wahrenbrück,Brandenburg,4905,2985
"Hohenwart, M",Bayern,4903,2986
Kröpelin,Mecklenburg-Vorpommern,4899,2987
Lenting,Bayern,4895,2988
Bibertal,Bayern,4892,2989
Vacha,Thüringen,4891,2990
Ebhausen,Baden-Württemberg,4890,2991
Hartheim am Rhein,Baden-Württemberg,4887,2992
Salzhausen,Niedersachsen,4887,2993
Westerrönfeld,Schleswig-Holstein,4887,2994
Mockrehna,Sachsen,4884,2995
Scheyern,Bayern,4883,2996
Wehretal,Hessen,4883,2997
Rabenau,Hessen,4881,2998
"Wiesentheid, M",Bayern,4875,2999
Hohenahr,Hessen,4874,3000
Winhöring,Bayern,4871,3001
Freren,Niedersachsen,4868,3002
Heeslingen,Niedersachsen,4868,3003
Stadtoldendorf,Niedersachsen,4868,3004
Rust,Baden-Württemberg,4865,3005
Brensbach,Hessen,4860,3006
Stetten am kalten Markt,Baden-Württemberg,4859,3007
Lauchheim,Baden-Württemberg,4857,3008
Emmingen-Liptingen,Baden-Württemberg,4856,3009
"Stavenhagen, Reuterstadt",Mecklenburg-Vorpommern,4855,3010
Brachttal,Hessen,4844,3011
Drebach,Sachsen,4844,3012
Hammersbach,Hessen,4843,3013
Stadecken-Elsheim,Rheinland-Pfalz,4842,3014
Nassau,Rheinland-Pfalz,4840,3015
"Rennertshofen, M",Bayern,4840,3016
Tespe,Niedersachsen,4840,3017
Braunlage,Niedersachsen,4839,3018
Bodman-Ludwigshafen,Baden-Württemberg,4838,3019
Eriskirch,Baden-Württemberg,4834,3020
Seelbach,Baden-Württemberg,4828,3021
Aglasterhausen,Baden-Württemberg,4825,3022
Inning a.Ammersee,Bayern,4822,3023
Appen,Schleswig-Holstein,4821,3024
"Frontenhausen, M",Bayern,4821,3025
Bad Wiessee,Bayern,4820,3026
Alheim,Hessen,4819,3027
Krayenberggemeinde,Thüringen,4818,3028
Malschwitz / Malešecy,Sachsen,4818,3029
Tengen,Baden-Württemberg,4818,3030
Oppenau,Baden-Württemberg,4815,3031
Neuhausen/Spree / Kopańce/Sprjewja,Brandenburg,4814,3032
Schömberg,Baden-Württemberg,4814,3033
Tönning,Schleswig-Holstein,4814,3034
Wilhelmsdorf,Baden-Württemberg,4813,3035
Eggesin,Mecklenburg-Vorpommern,4812,3036
Kruft,Rheinland-Pfalz,4800,3037
Schacht-Audorf,Schleswig-Holstein,4795,3038
Seddiner See,Brandenburg,4794,3039
"Breitenbrunn/Erzgeb., Hochschulort",Sachsen,4793,3040
Marienmünster,Nordrhein-Westfalen,4791,3041
Uttenreuth,Bayern,4790,3042
Herzlake,Niedersachsen,4788,3043
"Weismain, St",Bayern,4786,3044
"Hollfeld, St",Bayern,4784,3045
Chieming,Bayern,4778,3046
Altenmünster,Bayern,4776,3047
Mömlingen,Bayern,4774,3048
Hochdorf,Baden-Württemberg,4773,3049
Freinsheim,Rheinland-Pfalz,4772,3050
"Wörth a.Main, St",Bayern,4769,3051
"Iphofen, St",Bayern,4768,3052
Winnweiler,Rheinland-Pfalz,4765,3053
"Schöllnach, M",Bayern,4763,3054
Ötisheim,Baden-Württemberg,4761,3055
"Bischofsheim i.d.Rhön, St",Bayern,4755,3056
Trendelburg,Hessen,4755,3057
Asbach-Bäumenheim,Bayern,4750,3058
Vellberg,Baden-Württemberg,4747,3059
Gablingen,Bayern,4746,3060
Uchte,Niedersachsen,4745,3061
Rückersdorf,Bayern,4744,3062
Mietingen,Baden-Württemberg,4743,3063
Neukirch/Lausitz,Sachsen,4742,3064
Finsing,Bayern,4740,3065
Herbertingen,Baden-Württemberg,4738,3066
Lommatzsch,Sachsen,4737,3067
Bernried,Bayern,4736,3068
Maselheim,Baden-Württemberg,4736,3069
"Bad Bocklet, M",Bayern,4734,3070
Harpstedt,Niedersachsen,4733,3071
"Hilders, Marktgemeinde",Hessen,4733,3072
